N°,AÑO,FECHA,TIPO,UNIDAD,CANTIDAD,EQUIPO,MARCA,SERIE,OBSERVACIÓN
AE-001-15,2015,09/10/2015,REPARACION,PABELLON,,CONSOLA SHAVER,REICH,KARL STORZ,
AE-002-15,2015,13/10/2015,EQUIPO NUEVO,PEDIATRIA,,FIBROBRONCOSCOPIO,ZEPEDA,FUJIFILM,
AE-003-15,2015,13/10/2015,EQUIPO NUEVO,UPC ADULTO,,02 MODULOS PANI,ANDOVER,PHILIPS,
AE-004-15,2015,14/10/2015,EQUIPO NUEVO,POLI DEL DOLOR,,BASCULA DE PRECISION,COMERCIAL RESCATELIFE LTDA,HEALTH,
AE-005-15,2015,14/10/2015,ACCESOROS,PABELLON,,FRESAS SHAVER,REICH,S/M,
AE-007-15,2015,19/10/2015,REPARACION,PABELLON,,ADAPTADOR DE SIERRA,SYNTHES,SYNTHES,
AE-006-15,2015,21/10/2015,REPARACION,LABORATORIO,,CENTRIFUGA,SERMETER LTDA,KUBOTA,
AE-008-15,2015,22/10/2015,REPUESTO,POLI ARO,,PACK DE BATERIAS,INTERNATIONAL CLINICS,IMEX,
AE-009-15,2015,22/10/2015,REPUESTO,URGENCIA,,BOMBA DE INFUSION,HOSPIRA,HOSPIRA,
AE-010-15,2015,28/10/2015,REPARACION,PABELLON,,LITHOCLAST,ATM,EMS,
AE-011-15,2015,29/10/2015,EQUIPO NUEVO,MEDICINA NUECLEAR,,SONDA CAPTACION DE TIROIDE,CGM NUCLEAR S.A.,CII,
AE-012-15,2015,30/10/2015,ACCESORIOS,ENDOSCOPIA,,FILTROS DESINFECTANTE,ZEPEDA,MEDIAVATORS,
AE-013-15,2015,30/10/2015,REPUESTO,ENDOSCOPIA,,LAMPARA DE XENON,ILUMINA,EXCELITAS,
AE-014-15,2015,30/10/2015,EQUIPO NUEVO,UPC ADULTO,,04 MODULOS PANI,ANDOVER,PHILIPS,
AE-015-15,2015,10/11/2015,ACCESORIOS,URGENCIA,,02 CABLES DE PODER,S/P,S/M,
AE-016-15,2015,12/11/2015,EQUIPO NUEVO,ANATOMÍA PATOLÓGICA,,MESA DE NECROPSIA Y BALANZA,ARQUIMED,THERMO,
AE-017-15,2015,12/11/2015,ACCESORIOS,ENDOSCOPIA,,LIMPIADOR Y LUBRICANTES,S/P,S/M,
AE-019-15,2015,12/11/2015,ACCESORIOS,UCE,,04 MANGUILLOS PANI,S/P,S/M,
AE-020-15,2015,24/11/2015,ACCESORIOS,BLOQUE QUIRURGICO,,03 MANGUILLOS DE PRESION,S/P,S/M,
AE-021-15,2015,24/11/2015,ACCESORIOS,URGENCIA,,02 CABLES DE PODER,S/P,S/M,
AE-022-15,2015,26/11/2015,EQUIPO NUEVO,UCP,,01 BOMBA DE INFUSION,HOSPIRA,HOSPIRA,
AE-023-15,2015,27/11/2015,REPARACION,ESTERILIZACION,,01 CLIPERA,RUDOLF,RUDOLF,
AE-024-15,2015,01/12/2015,ACCESORIOS,PABELLON,,02 VAINAS DE LAPAROSCOPIA,FREMIQSUR,KARL STORZ,
AE-025-15,2015,03/12/2015,ACCESORIOS,IMAGENOLOGIA,,01 PENDRIVE,JOSE VALLEJOS,S/M,
AE-026-15,2015,11/12/2015,REPUESTO,URGENCIA,,01 BATERIA,PV EQUIP,ZOLL SUREPOWER,
AE-027-15,2015,15/12/2015,REPARACION,MEDICINA NUCLEAR,,01 DESFIBRILADOR,INDURA,METRAX,
AE-028-15,2015,21/12/2015,REPARACION,ENDOSCOPIA,,01 VIDEOPANENDOSCOPIO,ZEPEDA,ZEPEDA,
AE-029-15,2015,23/12/2015,REPARACION,ENDOSCOPIA,,01 VIDEOPANENDOSCOPIO,ZEPEDA,ZEPEDA,
AE-030-15,2015,23/12/2015,REEMPLAZO,IMAGENOLOGIA,,01 INCUBADOR,S/P,THERMO,
AE-082-16,2016,01-01-2016,EQUIPO,PABELLON AMBULATORIO,,02 MONITORES MULTIPARAMETROS,PV EQUIP,GENERIC ELECTRIC,
AE-001-16,2016,04/01/2016,REPARACION,ENDOSCOPIA,,01 COLONOSCOPIO,ZEPEDA,ZEPEDA,
AE-002-16,2016,05/01/2016,EQUIPO,SALUD MENTAL,,01 TUBO DE OXIGENO,S/P,AIRGAS,
AE-003-16,2016,05/01/2016,ACCESORIOS,ESTERILIZACION,,01 BULTO INSTRUMENTAL QUIRURGICO,S/P,BRAUN,
AE-004-16,2016,05/01/2016,REPARACION,NEONATOLOGIA,,01 EXTRACTOR DE LECHE,MEDELA,MEDELA,
AE-005-16,2016,12/01/2016,REPARACION,UPC ADULTO,,03 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,
AE-006-16,2016,12/01/2016,REPARACION,ENDOSCOPIA,,01 VIDEOPANENDOSCOPIO,ZEPEDA,FUJIFILM,
AE-007-16,2016,13/01/2016,REPARACION,URGENCIA,,01 BOMBA DE INFUSION,HOSPIRA,HOSPIRA,
AE-008-16,2016,14/01/2016,ACCESORIOS,BLOQUE QUIRURGICO,,05 MANGOS DE PRESION,S/P,S/M,
AE-009-16,2016,14/01/2016,ACCESORIOS,UCE,,"02 SENSOR SPO2, 01 ECG, 02 MANGOS PANI",S/P,DRAGER,
AE-010-16,2016,14/01/2016,ACCESORIOS,PABELLON,,"03 SENSOR SPO2, 01 ECG, 04 MANGOS PANI",S/P,DRAGER,
AE-011-16,2016,19/01/2016,ACCESORIOS,URGENCIA,,"01 SET ECG, 03 MANOMETROS",S/P,S/M,
AE-012-16,2016,20/01/2016,REPARACION,ENDOSCOPIA,,01 FIBROBRONCOSCOPIO,ZEPEDA,FUJINON,
