RESPONSABLE CATASTRO,FECHA,SERVICIO CLÍNICO,RECINTO (SECTOR),RECINTO,CLASE,SUBCLASE,NOMBRE EQUIPO,SUB EQUIPO,MARCA,MODELO,SERIE,N° INVENTARIO,NIC,AÑO DE ADQUISICIÓN,ORIGEN,COSTO,PROPIO / ARRIENDO / COMODATO,ESTADO (BUENO / REGULAR / MALO / BAJA),GESTIÓN AMBIENTAL,PMP,CRÍTICO/ RELEVANTE / IM≥12 / NO APLICA,APLICA LICITACIÓN,OBSERVACIÓN
HERMAN,17-06-2024,MEDICINA TRANSFUSIONAL,2DO PISO MED. TRANS.,C236 Extracción,Laboratorio/Farmac,Mediano Costo,Agitador de sangre,,GRIFOLS,MIXER PLUS 3,G1300820,NO ENCONTRADO,                                                                                                                                                                                                          ,2020,,,PROPIO,BUENO,45 VA,,NO APLICA,,
HERMAN,14-02-2024,IMAGENOLOGIA,1ER PISO - IMAGENOLOGÍA,ECOTOMOGRAFÍA 1,Imagenología,Alto Costo,Ecógrafo ,,PHILIPS,EPIQ 5G,US414C0644,NO ENCONTRADO,IMG-R03-14,2014,,,PROPIO,BUENO,600 VA,,RELEVANTE,,
HERMAN,15-03-2024,CDT - POLICLINICO DE CARDIOLOGIA,1ER PISO CDT,SALA ECOCARDIOGRAMA,Imagenología,Alto Costo,Ecocardiógrafo,,GENERAL ELECTRIC,VIVID E95,AU61304,NO ENCONTRADO,CDT-R11-19,2019,,,PROPIO,BUENO,500VA,,RELEVANTE,,
HERMAN,14-07-2024,CDT - ENDOSCOPIA,1ER PISO ENDOSCOPIA,ENDOSCOPIA,Apoyo Endoscópico,Alto Costo,Videobroncoscopio adulto,,FUJINON,EB-530S,1B083K206,NO ENCONTRADO,END-R01-17,2017,,,PROPIO,BUENO,NA,,RELEVANTE,,
HERMAN,15-07-2024,CDT - ENDOSCOPIA,1ER PISO ENDOSCOPIA,ENDOSCOPIA,Apoyo Endoscópico,Alto Costo,Videobroncoscopio pediátrico,,FUJINON,EB-530P,1B085K173,NO ENCONTRADO,END-R02-17,2017,,,PROPIO,BUENO,NA,,RELEVANTE,,
HERMAN,18-07-2024,CDT - ENDOSCOPIA,1ER PISO ENDOSCOPIA,ENDOSCOPIA,Apoyo Endoscópico,Alto Costo,Videocolonoscopio,,FUJINON,EC-590ZW3L,1C667K065,NO ENCONTRADO,END-R03-17,2017,,,PROPIO,BUENO,NA,,RELEVANTE,,
HERMAN,20-07-2024,CDT - ENDOSCOPIA,1ER PISO ENDOSCOPIA,ENDOSCOPIA,Apoyo Endoscópico,Alto Costo,Videoduodenoscopio,,FUJINON,ED-530XT,1D102K536,NO ENCONTRADO,END-R04-17,2017,,,PROPIO,BUENO,NA,,RELEVANTE,,
HERMAN,23-07-2024,CDT - ENDOSCOPIA,1ER PISO ENDOSCOPIA,ENDOSCOPIA,Apoyo Endoscópico,Alto Costo,Videopanendoscopio,,FUJIFILM,EG-590ZW,1G349K108,NO ENCONTRADO,END-R05-17,2017,,,PROPIO,BUENO,NA,,RELEVANTE,,
HERMAN,19-07-2024,CDT - ENDOSCOPIA,1ER PISO ENDOSCOPIA,ENDOSCOPIA,Apoyo Endoscópico,Alto Costo,Videocolonoscopio,,FUJINON,EC-530FL,1C654K487,NO ENCONTRADO,END-R06-17,2017,,,PROPIO,BUENO,NA,,RELEVANTE,,
HERMAN,29-07-2024,CDT - ENDOSCOPIA,1ER PISO ENDOSCOPIA,ENDOSCOPIA,Apoyo Endoscópico,Alto Costo,Videopanendoscopio,,FUJINON,EG-530FP,2G374K373,NO ENCONTRADO,END-R07-17,2017,,,PROPIO,BUENO,NA,,RELEVANTE,,
HERMAN,24-07-2024,CDT - ENDOSCOPIA,1ER PISO ENDOSCOPIA,ENDOSCOPIA,Apoyo Endoscópico,Alto Costo,Videopanendoscopio,,FUJIFILM,EG-530FP,2G374K419,NO ENCONTRADO,END-R08-17,2017,,,PROPIO,BUENO,NA,,RELEVANTE,,
HERMAN,30-07-2024,CDT - ENDOSCOPIA,1ER PISO ENDOSCOPIA,ENDOSCOPIA,Apoyo Endoscópico,Alto Costo,Videopanendoscopio,,FUJINON,EG-530FP,2G374K420,NO ENCONTRADO,END-R09-17,2017,,,PROPIO,BUENO,NA,,RELEVANTE,,
HERMAN,28-07-2024,CDT - ENDOSCOPIA,1ER PISO ENDOSCOPIA,ENDOSCOPIA,Apoyo Endoscópico,Alto Costo,Videopanendoscopio,,FUJINON,EG-600WR,9G391K276,NO ENCONTRADO,END-R18-22,2022,,,PROPIO,BUENO,NA,,RELEVANTE,,
HERMAN,25-07-2024,CDT - ENDOSCOPIA,1ER PISO ENDOSCOPIA,ENDOSCOPIA,Apoyo Endoscópico,Alto Costo,Videopanendoscopio,,FUJINON,EG-600WR,9G391K273,NO ENCONTRADO,END-R20-22,2022,,,PROPIO,BUENO,NA,,RELEVANTE,,
HERMAN,16-07-2024,CDT - ENDOSCOPIA,1ER PISO ENDOSCOPIA,ENDOSCOPIA,Apoyo Endoscópico,Alto Costo,Videocolonoscopio,,FUJINON,EC-600WL,8C688K106,NO ENCONTRADO,END-R21-22,2022,,,PROPIO,BUENO,NA,,RELEVANTE,,
HERMAN,17-07-2024,CDT - ENDOSCOPIA,1ER PISO ENDOSCOPIA,ENDOSCOPIA,Apoyo Endoscópico,Alto Costo,Videocolonoscopio,,FUJINON,EC-600WL,8C688K108,NO ENCONTRADO,END-R22-22,2022,,,PROPIO,BUENO,NA,,RELEVANTE,,
HERMAN,27-07-2024,CDT - ENDOSCOPIA,1ER PISO ENDOSCOPIA,ENDOSCOPIA,Apoyo Endoscópico,Alto Costo,Videopanendoscopio,,FUJINON,EG-600WR,9G391K275,NO ENCONTRADO,END-R23-22,2022,,,PROPIO,BUENO,NA,,RELEVANTE,,
HERMAN,26-02-2024,PABELLÓN CENTRAL,1ER PISO PABELLÓN CENTRAL,PASILLO,Imagenología,Alto Costo,Rx arco en c,,PHILIPS,PULSERA,1581,NO ENCONTRADO,ER001-23(D),2023,,,PROPIO,BUENO,15000w,,RELEVANTE,,
HERMAN,20-03-2024,DIALISIS,2DO PISO DIÄLISIS,Sala de equipos A-229,Apoyo Terapéutico,Mediano Costo,Máquina de diálisis,,FRESENIUS KABI,4008S,8SXA0E29,306A2P006389,HD001-19,2019,,,PROPIO,OPERATIVO CON PROBLEMAS,300W,,CRÍTICO,,NO TOMA CONDUCTIVIDAD
HERMAN,20-03-2024,DIALISIS,2DO PISO DIÄLISIS,Sala hemodiálisis,Apoyo Terapéutico,Mediano Costo,Máquina de diálisis,,FRESENIUS KABI,4008S,8SXA0E2G,306A2P006390,HD002-19,2019,,,PROPIO,BUENO,300W,,CRÍTICO,,
HERMAN,20-03-2024,DIALISIS,2DO PISO DIÄLISIS,Sala hemodiálisis,Apoyo Terapéutico,Mediano Costo,Máquina de diálisis,,FRESENIUS KABI,4008S,8SXA0EH4,306A2P006393,HD003-19,2019,,,PROPIO,BUENO,300W,,CRÍTICO,,
HERMAN,10-09-2024,DIALISIS,2do piso cdt,HEMODIALISIS,Apoyo Terapéutico,ALTO COSTO,Máquina de diálisis,,FRESENIUS KABI,4008S,8SXA0EH5,,HD004-19,2019,,,PROPIO,BUENO,2500 VA,,CRÍTICO,,
HERMAN,20-03-2024,DIALISIS,2DO PISO DIÄLISIS,Sala hemodiálisis,Apoyo Terapéutico,Mediano Costo,Máquina de diálisis,,FRESENIUS KABI,4008S,8SXA0EH6,306A2P006391,HD005-19,2019,,,PROPIO,BUENO,300W,,CRÍTICO,,
HERMAN,20-03-2024,DIALISIS,2DO PISO DIÄLISIS,Sala hemodiálisis,Apoyo Terapéutico,Mediano Costo,Máquina de diálisis,,FRESENIUS KABI,4008S,9SXA0ZWB,306A2P006704,HD006-19,2019,,,PROPIO,BUENO,300W,,CRÍTICO,,
HERMAN,20-03-2024,DIALISIS,2DO PISO DIÄLISIS,Sala hemodiálisis,Apoyo Terapéutico,Mediano Costo,Máquina de diálisis,,FRESENIUS KABI,4008S,9SXA0ZWF,306A2P006705,HD007-19,2019,,,PROPIO,BUENO,300W,,CRÍTICO,,
HERMAN,20-03-2024,DIALISIS,2DO PISO DIÄLISIS,Sala hemodiálisis,Apoyo Terapéutico,Mediano Costo,Máquina de diálisis,,FRESENIUS KABI,4008S,9SXA0ZWM,306A2P006706,HD008-19,2019,,,PROPIO,BUENO,300W,,CRÍTICO,,
