PMP,CATEGORÍA,SERVICIO,EQUIPO,MARCA,MODELO,SERIE,NIC,Nuevo NIC (Transición),FRECUENCIA,MANTENIMIENTO INTERNO O MANTENIMIENTO EXTERNO O CONTRATO,PROVEEDOR,FP,PLANILLA MINSAL (LPF),SITUACIÓN (LPF),ESTADO,FORMATO PROTOCOLO (NICOLE),N° GS (NICOLE),FECHA (NICOLE),OBSERVACIÓN MANTENIMIENTO,FECHA REPROGRAMACIÓN,OBERVACIÓN PROGRAMACIÓN,MEMORANDO A CALIDAD,,,,,
2025,EC,UCI,Hemodiafiltración Portátil,BBRAUN,OMNI,2246910653,,,1,GARANTIA,BBRAUN,1-enero,NO,EJECUTADO,6. CERRADO,FÍSICO,WO-01480885,08-01-2025,Equipo operativo ,,,,,,,,
2025-1,ER,IMAGENOLOGÍA,EQUIPO RAYOS X OSTEOPULMONAR DE TECHO,PHILIPS,Digital Diagnost 4 (CL1640),19861048,IMG-R08-20,IMG-R08-20,2,CONTRATO,PHILIPS,2-febrero,NO,EJECUTADO,6. CERRADO,FÍSICO,WO-10930593,04-02-2025,Equipo operativo,,,,,,,,
2025,ER,LABORATORIO,ANALIZADOR AUTOMATIZADO DE QUÍMICA CLÍNICA,ROCHE,C150,B8P4-08,LAB-R07-20,,2,COMODATO,ROCHE,2-febrero,NO,EJECUTADO,6. CERRADO,FÍSICO,WO-30753490,20-02-2025,Equipo operativo ,,,,,,,,
2025,ER,LABORATORIO,ANALIZADOR AUTOMATIZADO DE QUÍMICA CLÍNICA,ROCHE,E601,30Z7-10,LAB-R11-20,,2,COMODATO,ROCHE,2-febrero,NO,EJECUTADO,6. CERRADO,FÍSICO,WO-30767265,20-02-2025,Equipo operativo ,,,,,,,,
2025,ER,LABORATORIO,EQUIPO DETERMINACIÓN ELECTROLÍTO Y GASES COBAS B 221,ROCHE,IB-0003002457,24579,LAB-R41-21,,2,COMODATO,ROCHE,2-febrero,NO,EJECUTADO,6. CERRADO,FÍSICO,WO-30767371,19-02-2025,Equipo operativo ,,,,,,,,
2025-1,EC,UCI,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,INTELLIVUE X3,DE69483391,MM051-20,MM051-20,2,INTERNO,EEMM,2-febrero,NO,EJECUTADO,6. CERRADO,DIGITAL,6370,15-2-2025,"No aplicar seguridad electrica, equipo operativo",,,,,,,,
2025-1,EC,UCI,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,INTELLIVUE X3,DE61164012,MM052-20,MM052-20,2,INTERNO,EEMM,2-febrero,NO,EJECUTADO,6. CERRADO,DIGITAL,6368,15-02-2025,"No aplicar seguridad electrica, equipo operativo",,,,,,,,
2025-1,EC,UCI,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,INTELLIVUE X3,DE61163979,MM053-20,MM053-20,2,INTERNO,EEMM,2-febrero,NO,EJECUTADO,6. CERRADO,DIGITAL,6136,22-02-2025,"No aplicar seguridad electrica, equipo operativo",,,,,,,,
2025-1,EC,UCI,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,INTELLIVUE X3,DE61164014,MM054-20,MM054-20,2,INTERNO,EEMM,2-febrero,NO,EJECUTADO,6. CERRADO,DIGITAL,6137,22-02-2025,"No aplicar seguridad electrica, equipo operativo",,,,,,,,
2025-1,EC,UCP PEDIÁTRICOS,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,INTELLIVUE X2,DE46662984,MM055-15,MM055-15,2,INTERNO,EEMM,2-febrero,NO,EJECUTADO,6. CERRADO,DIGITAL,6135,22-2-2025,"No aplicar seguridad electrica, equipo operativo",,,,,,,,
