PMP,INDICE DE MANTENIMIENTO,SERVICIO,EQUIPO,MARCA,MODELO,SERIE,NIC,FRECUENCIA,MANTENIMIENTO INTERNO O MANTENIMIENTO EXTERNO O CONTRATO,PROVEEDOR,Inicio,Fín,FP,ESTADO,OBSERVACIONES
2025-1,12,ANATOMIA PATOLOGICA,Baño Histologico / Flotación,LEICA,HI1210,17067,,1,GARANTIA,NEWPATH,01-01-2022,01-01-2025,03. MARZO,4. EJECUTADO,
2025-1,12,ANATOMIA PATOLOGICA,Baño Histologico / Flotación,LEICA,HL1210,17109,,1,GARANTIA,NEWPATH,01-01-2022,01-01-2025,03. MARZO,4. EJECUTADO,
2026-1,12,ANATOMIA PATOLOGICA,Baño Histologico / Flotación,LEICA,HI1210,17067,,1,GARANTIA,NEWPATH,01-01-2022,01-01-2025,01. ENERO,1. PENDIENTE,
2026-1,12,ANATOMIA PATOLOGICA,Baño Histologico / Flotación,LEICA,HL1210,17109,,1,GARANTIA,NEWPATH,01-01-2022,01-01-2025,01. ENERO,1. PENDIENTE,
2025-1,12,ANATOMIA PATOLOGICA,Centro de Inclusión,Leica,Arcadia H,7767,IM172-22,1,GARANTIA,NEWPATH,01-01-2022,01-01-2025,03. MARZO,4. EJECUTADO,
2025-1,13,CARDIOLOGÍA,Electrocardiógrafo,CARDIOLINE,ECG 100S,0512230D,IM087-24,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,13,URGENCIA ADULTO/PEDIÁTRICO,Electrocardiógrafo,CARDIOLINE,ECG 100L,0563230E,IM086-24,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,13,PABELLÓN CENTRAL,Electrocardiógrafo,Nihon Kohden,ECG-1150,07344K,IM094-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,13,UNIDAD PACIENTE CRITICO (UPC),Electrocardiógrafo,Schiller,CARDIOVIT-FT1,1060000959,IM093-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,13,CDT - POLICLINICO DE PEDIATRIA,Electrocardiógrafo,Schiller,CARDIOVIT-FT1,1060000961,IM097-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,13,URGENCIA ADULTO/PEDIÁTRICO,Electrocardiógrafo,CARDIOLINE,ECG 100S,122308,IM085-24,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,13,MEDICINA,Electrocardiógrafo,EDAN,SE-1200,460016-M22512510008,IM079-23,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,13,MEDICINA,Electrocardiógrafo,EDAN,SE-1200,460016-M22512510009,IM078-23,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,13,NEUROCIRUGIA/NEUROLOGIA,Electrocardiógrafo,COMEN MEDICAL,CM 1200,90120917016U,IM071-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,13,GINECOLOGIA Y OBSTETRICIA,Electrocardiógrafo,Burdick,ATRIA 3100,A3100-010008,IM069-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
